"vendor","description","device_type","sysDescr_match","sysObjectID_match","scanning_function","ip_scanning_function","dot1x_scanning_function","serial_number_oid","lowPort","highPort"
"Cisco","2960 Switch Base","2","C2960-LANBASEK9-M","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","2960 Switch Lite","2","C2960-LANLITEK9-M","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","43xx Router","3","ISR Software","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","45xx Switch","2","4500","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","45xx Switch","2","cat4000","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","6513 Switch/Router","2","s72033_rp","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","94xx Switch","2","CAT9K_IOSXE","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","ASR Router","3","PPC_LINUX_IOSD-IPBAS","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","Blade Center 10/100","2","CIGESM-I6K2L2Q4-M","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","BladeCenter2 10G","2","CBS31X0","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C2600 Router","3","C2600","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C2800 Router","3","C2800","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C2900 Router","3","C2900","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C2950 Switch","2","C2950","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C2960S Switch","2","C2960S","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C2960X Switch","2","C2960X","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","get_cisco_dot1x_table","","0","0"
"Cisco","C3550 Switch","2","C3550","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C3560 Switch","2","C3560","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C3750 Switch","2","C3750","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C3900 Router","3","C3900","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C3x50 Switch","2","CAT3K","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","C870 Router","3","C870","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","CAT3K_CAA-UNIVERSALK9-M","2","CAT3K_CAA-UNIVERSALK9-M","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","CAT4500","2","cat4500","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","CE500 Switch","1","CE500","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","Cisco ASA","3","Adaptive Security Appliance","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Dell","DellBladeCenter","2","Ethernet Switch","","get_dell_dot1q_switch_ports","get_CTAlias_table","0","","0","0"
"IBM","IBM Flex System Fabric","2","IBM Flex System Fabric","","get_generic_dot1q_switch_ports","get_standard_arp_table","0","","0","0"
"Cisco","Nexus 5K","1","n5000","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0",".1.3.6.1.4.1.9.12.3.1.3.1038","0","0"
"Cisco","Nexus 7K","2","n7000","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0",".1.3.6.1.4.1.9.12.3.1.3.932","0","0"
"Cisco","Nexus 9K","2","NX-OS","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0",".1.3.6.1.4.1.9.12.3.1.3.1850","0","0"
"Cisco","Nexus Generic","2","nxos","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"HP","ProCurve Switch","2","ProCurve Switch","","get_procurve_ngi_switch_ports","get_standard_arp_table","0","","0","0"
"Cisco","VG224","3","vg224","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
"Cisco","VG3X0","3","VG3X0","","get_IOS_dot1dTpFdbEntry_ports","get_standard_arp_table","0","","0","0"
